date,weightclass,fighter,rank
2026-03-10,Flyweight,Islam Makhachev,0
2026-03-10,Flyweight,Islam Makhachev,1
2026-03-10,Flyweight,Ilia Topuria,2
2026-03-10,Flyweight,Khamzat Chimaev,3
2026-03-10,Flyweight,Alexander Volkanovski,4
2026-03-10,Flyweight,Alex Pereira,5
2026-03-10,Flyweight,Petr Yan,6
2026-03-10,Flyweight,Merab Dvalishvili,7
2026-03-10,Flyweight,Tom Aspinall,8
2026-03-10,Flyweight,Alexandre Pantoja,9
2026-03-10,Flyweight,Max Holloway,10
2026-03-10,Flyweight,Joshua Van,11
2026-03-10,Flyweight,Dricus Du Plessis,12
2026-03-10,Flyweight,Magomed Ankalaev,13
2026-03-10,Flyweight,Jack Della Maddalena,14
2026-03-10,Flyweight,Arman Tsarukyan,15
2026-03-10,Bantamweight,Joshua Van,0
2026-03-10,Bantamweight,Alexandre Pantoja,1
2026-03-10,Bantamweight,Manel Kape,2
2026-03-10,Bantamweight,Tatsuro Taira,3
2026-03-10,Bantamweight,Brandon Royval,4
2026-03-10,Bantamweight,Kyoji Horiguchi,5
2026-03-10,Bantamweight,Lone’er Kavanagh,6
2026-03-10,Bantamweight,Brandon Moreno,7
2026-03-10,Bantamweight,Amir Albazi,7
2026-03-10,Bantamweight,Asu Almabayev,9
2026-03-10,Bantamweight,Alex Perez,10
2026-03-10,Bantamweight,Tim Elliott,11
2026-03-10,Bantamweight,Steve Erceg,12
2026-03-10,Bantamweight,Tagir Ulanbekov,13
2026-03-10,Bantamweight,Charles Johnson,14
2026-03-10,Bantamweight,Bruno Silva,15
2026-03-10,Featherweight,Petr Yan,0
2026-03-10,Featherweight,Merab Dvalishvili,1
2026-03-10,Featherweight,Umar Nurmagomedov,2
2026-03-10,Featherweight,Sean O'Malley,3
2026-03-10,Featherweight,Cory Sandhagen,4
2026-03-10,Featherweight,Song Yadong,5
2026-03-10,Featherweight,Aiemann Zahabi,6
2026-03-10,Featherweight,Deiveson Figueiredo,7
2026-03-10,Featherweight,Mario Bautista,8
2026-03-10,Featherweight,David Martinez,9
2026-03-10,Featherweight,Marlon Vera,10
2026-03-10,Featherweight,Payton Talbott,11
2026-03-10,Featherweight,Vinicius Oliveira,12
2026-03-10,Featherweight,Rob Font,13
2026-03-10,Featherweight,Kyler Phillips,14
2026-03-10,Featherweight,Montel Jackson,15
2026-03-10,Lightweight,Alexander Volkanovski,0
2026-03-10,Lightweight,Movsar Evloev,1
2026-03-10,Lightweight,Diego Lopes,2
2026-03-10,Lightweight,Lerone Murphy,3
2026-03-10,Lightweight,Yair Rodriguez,4
2026-03-10,Lightweight,Aljamain Sterling,5
2026-03-10,Lightweight,Jean Silva,6
2026-03-10,Lightweight,Arnold Allen,7
2026-03-10,Lightweight,Youssef Zalal,8
2026-03-10,Lightweight,Steve Garcia,9
2026-03-10,Lightweight,Brian Ortega,10
2026-03-10,Lightweight,Josh Emmett,11
2026-03-10,Lightweight,Melquizael Costa,12
2026-03-10,Lightweight,Patricio Pitbull,13
2026-03-10,Lightweight,Kevin Vallejos,14
2026-03-10,Lightweight,David Onama,15
2026-03-10,Welterweight,Ilia Topuria,0
2026-03-10,Welterweight,Justin Gaethje,1
2026-03-10,Welterweight,Arman Tsarukyan,2
2026-03-10,Welterweight,Charles Oliveira,3
2026-03-10,Welterweight,Max Holloway,4
2026-03-10,Welterweight,Benoît Saint Denis,5
2026-03-10,Welterweight,Paddy Pimblett,6
2026-03-10,Welterweight,Mateusz Gamrot,7
2026-03-10,Welterweight,Dan Hooker,8
2026-03-10,Welterweight,Mauricio Ruffy,9
2026-03-10,Welterweight,Renato Moicano,10
2026-03-10,Welterweight,Rafael Fiziev,11
2026-03-10,Welterweight,Beneil Dariush,12
2026-03-10,Welterweight,Michael Chandler,13
2026-03-10,Welterweight,Manuel Torres,14
2026-03-10,Welterweight,Farès Ziam,15
2026-03-10,Middleweight,Islam Makhachev,0
2026-03-10,Middleweight,Jack Della Maddalena,1
2026-03-10,Middleweight,Ian Machado Garry,2
2026-03-10,Middleweight,Michael Morales,3
2026-03-10,Middleweight,Belal Muhammad,4
2026-03-10,Middleweight,Carlos Prates,5
2026-03-10,Middleweight,Sean Brady,6
2026-03-10,Middleweight,Kamaru Usman,7
2026-03-10,Middleweight,Leon Edwards,8
2026-03-10,Middleweight,Joaquin Buckley,9
2026-03-10,Middleweight,Gabriel Bonfim,10
2026-03-10,Middleweight,Gilbert Burns,11
2026-03-10,Middleweight,Uroš Medić,12
2026-03-10,Middleweight,Colby Covington,13
2026-03-10,Middleweight,Michael Page,14
2026-03-10,Middleweight,Daniel Rodriguez,15
2026-03-10,Light Heavyweight,Khamzat Chimaev,0
2026-03-10,Light Heavyweight,Dricus Du Plessis,1
2026-03-10,Light Heavyweight,Nassourdine Imavov,2
2026-03-10,Light Heavyweight,Sean Strickland,3
2026-03-10,Light Heavyweight,Brendan Allen,4
2026-03-10,Light Heavyweight,Israel Adesanya,5
2026-03-10,Light Heavyweight,Anthony Hernandez,6
2026-03-10,Light Heavyweight,Caio Borralho,7
2026-03-10,Light Heavyweight,Reinier de Ridder,8
2026-03-10,Light Heavyweight,Robert Whittaker,9
2026-03-10,Light Heavyweight,Jared Cannonier,10
2026-03-10,Light Heavyweight,Roman Dolidze,11
2026-03-10,Light Heavyweight,Paulo Costa,12
2026-03-10,Light Heavyweight,Gregory Rodrigues,13
2026-03-10,Light Heavyweight,Joe Pyfer,14
2026-03-10,Light Heavyweight,Brunno Ferreira,15
2026-03-10,Heavyweight,Alex Pereira,0
2026-03-10,Heavyweight,Magomed Ankalaev,1
2026-03-10,Heavyweight,Jiří Procházka,2
2026-03-10,Heavyweight,Carlos Ulberg,3
2026-03-10,Heavyweight,Khalil Rountree Jr.,4
2026-03-10,Heavyweight,Jan Błachowicz,5
2026-03-10,Heavyweight,Azamat Murzakanov,6
2026-03-10,Heavyweight,Jamahal Hill,7
2026-03-10,Heavyweight,Volkan Oezdemir,8
2026-03-10,Heavyweight,Bogdan Guskov,9
2026-03-10,Heavyweight,Dominick Reyes,10
2026-03-10,Heavyweight,Aleksandar Rakić,11
2026-03-10,Heavyweight,Johnny Walker,12
2026-03-10,Heavyweight,Nikita Krylov,13
2026-03-10,Heavyweight,Dustin Jacoby,14
2026-03-10,Heavyweight,Zhang Mingyang,15
2026-03-10,Women's Strawweight,Tom Aspinall,0
2026-03-10,Women's Strawweight,Ciryl Gane,1
2026-03-10,Women's Strawweight,Alexander Volkov,2
2026-03-10,Women's Strawweight,Sergei Pavlovich,3
2026-03-10,Women's Strawweight,Curtis Blaydes,4
2026-03-10,Women's Strawweight,Waldo Cortes Acosta,5
2026-03-10,Women's Strawweight,Serghei Spivac,6
2026-03-10,Women's Strawweight,Rizvan Kuniev,7
2026-03-10,Women's Strawweight,Marcin Tybura,8
2026-03-10,Women's Strawweight,Derrick Lewis,9
2026-03-10,Women's Strawweight,Ante Delija,10
2026-03-10,Women's Strawweight,Tallison Teixeira,11
2026-03-10,Women's Strawweight,Shamil Gaziev,12
2026-03-10,Women's Strawweight,Mick Parkin,13
2026-03-10,Women's Strawweight,Valter Walker,14
2026-03-10,Women's Strawweight,Vitor Petrino,15
2026-03-10,Women's Flyweight,Valentina Shevchenko,0
2026-03-10,Women's Flyweight,Valentina Shevchenko,1
2026-03-10,Women's Flyweight,Kayla Harrison,2
2026-03-10,Women's Flyweight,Zhang Weili,3
2026-03-10,Women's Flyweight,Natalia Silva,4
2026-03-10,Women's Flyweight,Mackenzie Dern,5
2026-03-10,Women's Flyweight,Manon Fiorot,6
2026-03-10,Women's Flyweight,Erin Blanchfield,7
2026-03-10,Women's Flyweight,Julianna Peña,8
2026-03-10,Women's Flyweight,Alexa Grasso,9
2026-03-10,Women's Flyweight,Virna Jandiroba,10
2026-03-10,Women's Flyweight,Raquel Pennington,11
2026-03-10,Women's Flyweight,Tatiana Suarez,12
2026-03-10,Women's Flyweight,Rose Namajunas,13
2026-03-10,Women's Flyweight,Yan Xiaonan,14
2026-03-10,Women's Flyweight,Maycee Barber,15
2026-03-10,Women's Bantamweight,Mackenzie Dern,0
2026-03-10,Women's Bantamweight,Zhang Weili,1
2026-03-10,Women's Bantamweight,Tatiana Suarez,2
2026-03-10,Women's Bantamweight,Virna Jandiroba,3
2026-03-10,Women's Bantamweight,Yan Xiaonan,4
2026-03-10,Women's Bantamweight,Amanda Lemos,5
2026-03-10,Women's Bantamweight,Loopy Godinez,6
2026-03-10,Women's Bantamweight,Tabatha Ricci,7
2026-03-10,Women's Bantamweight,Gillian Robertson,8
2026-03-10,Women's Bantamweight,Jéssica Andrade,9
2026-03-10,Women's Bantamweight,Amanda Ribas,10
2026-03-10,Women's Bantamweight,Fatima Kline,11
2026-03-10,Women's Bantamweight,Denise Gomes,12
2026-03-10,Women's Bantamweight,Alexia Thainara,13
2026-03-10,Women's Bantamweight,Angela Hill,14
2026-03-10,Women's Bantamweight,Mizuki,15
2026-03-10,Women's Featherweight,Valentina Shevchenko,0
2026-03-10,Women's Featherweight,Manon Fiorot,1
2026-03-10,Women's Featherweight,Natalia Silva,1
2026-03-10,Women's Featherweight,Alexa Grasso,3
2026-03-10,Women's Featherweight,Erin Blanchfield,4
2026-03-10,Women's Featherweight,Maycee Barber,5
2026-03-10,Women's Featherweight,Jasmine Jasudavicius,6
2026-03-10,Women's Featherweight,Rose Namajunas,7
2026-03-10,Women's Featherweight,Tracy Cortez,8
2026-03-10,Women's Featherweight,Karine Silva,9
2026-03-10,Women's Featherweight,Miranda Maverick,10
2026-03-10,Women's Featherweight,Wang Cong,11
2026-03-10,Women's Featherweight,Casey O'Neill,12
2026-03-10,Women's Featherweight,Eduarda Moura,13
2026-03-10,Women's Featherweight,Gabriella Fernandes,14
2026-03-10,Women's Featherweight,JJ Aldrich,15
2026-03-10,Pound-for-Pound,Kayla Harrison,0
2026-03-10,Pound-for-Pound,Julianna Peña,1
2026-03-10,Pound-for-Pound,Raquel Pennington,2
2026-03-10,Pound-for-Pound,Norma Dumont,3
2026-03-10,Pound-for-Pound,Ketlen Vieira,4
2026-03-10,Pound-for-Pound,Yana Santos,5
2026-03-10,Pound-for-Pound,Irene Aldana,6
2026-03-10,Pound-for-Pound,Ailin Perez,7
2026-03-10,Pound-for-Pound,Macy Chiasson,8
2026-03-10,Pound-for-Pound,Karol Rosa,9
2026-03-10,Pound-for-Pound,Jacqueline Cavalcanti,10
2026-03-10,Pound-for-Pound,Joselyne Edwards,11
2026-03-10,Pound-for-Pound,Mayra Bueno Silva,12
2026-03-10,Pound-for-Pound,Nora Cornolle,13
2026-03-10,Pound-for-Pound,Miesha Tate,14
2026-03-10,Pound-for-Pound,Luana Santos,15
